ind1;ind2;sr_norm;skill_related
11;12;0.773166754101655;1
11;13;0.766771875739844;1
11;14;0.79270516870745;1
11;15;0.906010664312953;1
11;16;0.836312229837486;1
11;17;0.810065791104231;1
12;11;0.773166754101655;1
12;13;0.704540620573068;1
12;14;0.571794942991121;1
12;15;0.573323364212576;1
12;16;0.789698242961813;1
12;17;0.477335491719533;1
13;11;0.766771875739844;1
13;12;0.704540620573068;1
13;14;0.314995772688889;1
13;15;0.530585220207838;1
13;16;0.772701438073771;1
13;17;0.655502854452859;1
14;11;0.79270516870745;1
14;12;0.571794942991121;1
14;13;0.314995772688889;1
14;15;0.912856666061091;1
14;16;0.739086321831418;1
14;17;0.792766966135077;1
15;11;0.906010664312953;1
15;12;0.573323364212576;1
15;13;0.530585220207838;1
15;14;0.912856666061091;1
15;16;0.505549914652268;1
15;17;-1.0;0
16;11;0.836312229837486;1
16;12;0.789698242961813;1
16;13;0.772701438073771;1
16;14;0.739086321831418;1
16;15;0.505549914652268;1
16;17;-0.286482662533684;0
17;11;0.810065791104231;1
17;12;0.477335491719533;1
17;13;0.655502854452859;1
17;14;0.792766966135077;1
17;15;-1.0;0
17;16;-0.286482662533684;0
11;21;0.788334994231417;1
11;22;0.520893739323403;1
11;23;-1.0;0
11;24;0.442352503380237;1
12;21;0.598379849018697;1
12;22;0.430152187590956;1
12;23;-1.0;0
12;24;0.509814466344818;1
13;21;-0.462236553319176;0
13;22;0.472965900521247;1
13;23;-1.0;0
13;24;0.227665782500821;1
14;21;0.527701086995158;1
14;22;0.548289553521578;1
14;23;-1.0;0
14;24;0.434940869220591;1
15;21;-1.0;0
15;22;0.363248545620594;1
15;23;-1.0;0
15;24;0.49638176485408;1
16;21;0.312358661332458;1
16;22;0.303403761694936;1
16;23;-1.0;0
16;24;0.348063842536343;1
17;21;0.983343622229848;1
17;22;0.938248248850857;1
17;23;-1.0;0
17;24;0.876191917771266;1
11;31;0.285357136712519;1
11;32;0.689635620615449;1
12;31;0.0143667796127921;1
12;32;0.580648170912489;1
13;31;0.448546285094036;1
13;32;-0.203555959556626;0
14;31;0.662502503726954;1
14;32;0.728612326525718;1
15;31;-1.0;0
15;32;-1.0;0
16;31;0.178884542766168;1
16;32;0.571598632447647;1
17;31;-1.0;0
17;32;-1.0;0
11;51;0.0;0
11;52;-1.0;0
12;51;0.0;0
12;52;-1.0;0
13;51;0.0;0
13;52;-1.0;0
14;51;0.0;0
14;52;-0.255433771942183;0
15;51;0.0;0
15;52;-1.0;0
16;51;0.0;0
16;52;0.800258224899593;1
17;51;0.0;0
17;52;-1.0;0
11;61;-1.0;0
11;62;-0.5;0
12;61;-1.0;0
12;62;-0.5;0
13;61;-1.0;0
13;62;-0.5;0
14;61;-1.0;0
14;62;-0.5;0
15;61;-1.0;0
15;62;-0.5;0
16;61;-1.0;0
16;62;-0.5;0
17;61;-1.0;0
17;62;-0.5;0
11;72;-1.0;0
12;72;-1.0;0
13;72;-1.0;0
14;72;-1.0;0
15;72;-1.0;0
16;72;-1.0;0
17;72;-1.0;0
11;81;0.163911651866338;1
11;89;-1.0;0
12;81;-0.254199926824214;0
12;89;0.761323836597186;1
13;81;-0.208376848855815;0
13;89;-1.0;0
14;81;0.17744547083062;1
14;89;-0.128324809133236;0
15;81;-1.0;0
15;89;-1.0;0
16;81;0.237801902799845;1
16;89;-1.0;0
17;81;-0.0527817505977152;0
17;89;-1.0;0
11;91;-1.0;0
11;99;-0.0262956064377028;0
12;91;-0.249744121901604;0
12;99;0.290831078027018;1
13;91;-0.217361429904189;0
13;99;-1.0;0
14;91;0.17783896203938;1
14;99;-0.346396143486445;0
15;91;-1.0;0
15;99;-1.0;0
16;91;-1.0;0
16;99;-1.0;0
17;91;-1.0;0
17;99;-1.0;0
11;101;0.462877256664587;1
11;102;-1.0;0
11;103;0.612275999569031;1
11;104;0.287422974621247;1
11;105;0.258670361156339;1
11;106;0.357611935690774;1
11;107;-0.105274135776216;0
